Date,Message
2025-09-29T09:30:00.000-04:00,[KLB] 9:30 ▼ RNG range break vol=5.6x
2025-09-29T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ VWAP vol=4.7x pos=^90 vwap=above ema=bear rs=+0.4% adx=25 body=83% ramp=34.5x rangeATR=2.6 ⚡ ⚠ O512.18 H513.87 L512.06 C513.68 ATR=7.35 SL=513.09/512.94 rawVol=33551 volSMA=7098 buf=0.368 prices=
2025-09-29T09:50:00.000-04:00,[KLB] 9:50 ▲ RNG range break vol=6x
2025-09-29T15:20:00.000-04:00,[KLB] 15:20 ▼ ~ x~ PM H vol=1.7x pos=v28 vwap=below ema=bull rs=+0.8% adx=15 body=25% ramp=1.6x rangeATR=1.3 O514.38 H514.4 L513.87 C514.25 ATR=7.35 SL=514.99/515.35 rawVol=16859 volSMA=9865 buf=0.368 prices=514.62
2025-09-29T15:30:00.000-04:00,[KLB] 15:30 ▲ FADE at 514.62
2025-09-29T15:55:00.000-04:00,[KLB] 15:55 ▼ ~ x~ PM H vol=3.4x pos=v66 vwap=below ema=bull rs=+0.7% adx=15 body=17% ramp=2.1x rangeATR=1.6 O514.16 H514.53 L513.77 C514.03 ATR=7.35 SL=514.77/515.13 rawVol=54078 volSMA=15716 buf=0.368 prices=514.62
2025-09-30T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ ~ Today O vol=2.7x pos=v56 vwap=above ema=bull rs=-0.1% adx=21 body=56% ramp=0.8x rangeATR=3.9 ⚡ O513.88 H513.88 L512.55 C513.14 ATR=7.4 SL=513.73/513.88 rawVol=908 volSMA=330 buf=0.37 prices=
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ RNG range break vol=17.6x
2025-09-30T09:35:00.000-04:00,[KLB] 9:35 ▼ BRK PM L vol=17.6x pos=v61 vwap=below ema=bear rs=-0.3% adx=24 body=52% ramp=54.5x rangeATR=6.1 ⚡ O513.14 H513.48 L510 C511.34 ATR=7.4 SL=511.93/512.08 rawVol=48174 volSMA=2737 buf=0.37 prices=512.55
2025-09-30T09:35:00.000-04:00,[KLB] CONF 9:35 ▼ BRK → ✓ (auto-R1: EMA)
2025-09-30T09:40:00.000-04:00,[KLB] 9:40 ▼ ~ ~ VWAP vol=10.4x pos=v75 vwap=below ema=bear rs=-0.5% adx=28 body=50% ramp=253.3x rangeATR=3.1 ⚡ O511.3 H511.82 L509.71 C510.24 ATR=7.4 SL=510.83/510.98 rawVol=37810 volSMA=4621 buf=0.37 prices=
2025-09-30T09:40:00.000-04:00,[KLB] 5m CHECK 9:40 ▼ pnl=0.15 SPY~ → HOLD
2025-09-30T09:45:00.000-04:00,[KLB] 9:45 ▲ ~ ~ Yest L vol=3.5x pos=^99 vwap=above ema=bear rs=-0.3% adx=31 body=95% ramp=86.9x rangeATR=2 ⚠ O510.19 H511.6 L510.14 C511.58 ATR=7.4 SL=510.99/510.84 rawVol=19324 volSMA=5569 buf=0.37 prices=508.88
2025-09-30T10:50:00.000-04:00,[KLB] 10:50 ▲ ~ ~ PD Cls vol=2.4x pos=^70 vwap=above ema=bear rs=+0.4% adx=24 body=69% ramp=1.8x rangeATR=2.1 ⚡ O514.42 H516.15 L514.4 C515.62 ATR=7.4 SL=515.03/514.88 rawVol=43081 volSMA=17708 buf=0.37 prices=
2025-09-30T11:35:00.000-04:00,[KLB] 11:35 ▲ ~ ~ VWAP vol=0.7x pos=^76 vwap=above ema=bull rs=+0.5% adx=25 body=72% ramp=1.1x rangeATR=1.2 O514.67 H515.72 L514.63 C515.46 ATR=7.4 SL=513.98/513.61 rawVol=14016 volSMA=20268 buf=0.37 prices=
2025-10-01T09:30:00.000-04:00,[KLB] 9:30 ▼ ~ x~ PM H vol=1.7x pos=v100 vwap=below ema=bull rs=-0.5% adx=17 body=25% ramp=1.9x rangeATR=2.9 ⚡ O514.98 H515.8 L514.7 C514.7 ATR=7.47 SL=515.3/515.45 rawVol=942 volSMA=554 buf=0.374 prices=515.8
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▲ FADE at 515.8
2025-10-01T09:35:00.000-04:00,[KLB] 9:35 ▲ RNG range break vol=16.9x
2025-10-01T10:00:00.000-04:00,[KLB] 10:00 ▼ BRK ORB L vol=2.1x pos=v84 vwap=below ema=bear rs=-0.5% adx=23 body=45% ramp=0.6x rangeATR=1.7 O513.24 H513.89 L512.25 C512.51 ATR=7.47 SL=513.11/513.26 rawVol=25958 volSMA=12370 buf=0.374 prices=513.2
2025-10-01T10:00:00.000-04:00,[KLB] 10:00 ▼ ~ ~ VWAP vol=2.1x pos=v84 vwap=below ema=bear rs=-0.5% adx=23 body=45% ramp=0.6x rangeATR=1.7 O513.24 H513.89 L512.25 C512.51 ATR=7.47 SL=513.11/513.26 rawVol=25958 volSMA=12370 buf=0.374 prices=
2025-10-01T10:00:00.000-04:00,[KLB] CONF 10:00 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-01T10:05:00.000-04:00,[KLB] 5m CHECK 10:05 ▼ pnl=-0.01 SPY~ → HOLD
2025-10-01T10:30:00.000-04:00,[KLB] 10:30 ▼ BRK ORB L vol=1.6x pos=v96 vwap=below ema=bear rs=-0.8% adx=24 body=82% ramp=1.3x rangeATR=0.9 ⚠ O513.36 H513.48 L512.59 C512.63 ATR=7.47 SL=513.23/513.38 rawVol=25416 volSMA=18565 buf=0.374 prices=513.2
2025-10-01T10:30:00.000-04:00,[KLB] CONF 10:30 ▼ BRK → ✓ (auto-R1: EMA)
2025-10-01T10:35:00.000-04:00,[KLB] 5m CHECK 10:35 ▼ pnl=-0.01 SPY✗ → BAIL
2025-10-01T12:55:00.000-04:00,[KLB] 12:55 ▲ ~ ~ PD LH L vol=1.6x pos=^86 vwap=above ema=bull rs=-0.2% adx=23 body=54% ramp=1x rangeATR=0.6 O516.41 H516.66 L516.29 C516.61 ATR=7.47 SL=515.12/514.74 rawVol=10857 volSMA=13192 buf=0.374 prices=
2025-10-01T13:25:00.000-04:00,[KLB] 13:25 ▲ ~ ~ PD Cls vol=1.3x pos=^100 vwap=above ema=bull rs=0% adx=31 body=99% ramp=1x rangeATR=1.5 ⚠ O517.3 H518.25 L517.29 C518.25 ATR=7.47 SL=516.76/516.38 rawVol=17824 volSMA=13824 buf=0.374 prices=
